"title","source","source_type","deadline","posted","award_ceiling","estimated_funding","indirect_rate","eligibility","fit","number","url","matched_terms","description"
"Research on the Science and Technology Enterprise: Indicators, Statistics, and Methods (NCSES S&T)","U.S. National Science Foundation","","2027-01-19","2024-07-01","","1500000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","94","24-587","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf24587","data; science; technology; engineering; survey; statistical","The National Center for Science and Engineering Statistics (NCSES) of the National Science Foundation (NSF) is one of the thirteen principal federal statistical agencies within the United States. It is responsible for the collection, acquisition, analysis, reporting and dissemination of objective, statistical data related to the science and technology (S&T) enterprise in the United States and other nations that is relevant and useful to practitioners, researchers, policymakers and the public. NCSES uses this information to prepare a number of statistical data reports including Women, Minorities and Persons with Disabilities in Science and Engineering and the National Science Board's biennial report, Science and Engineering (S&E) Indicators. The Center would like to enhance its efforts to support analytic and methodological research in support of its surveys as well as promote the education and training of researchers in the use of large-scale nationally representative datasets. NCSES welcomes efforts by the research community to use NCSES or other data to conduct research on the S&T enterprise, develop improved survey methodologies that could benefit NCSES surveys, explore alternate data sources that could supplement NCSES data, create and improve indicators of S&T activities and resources, strengthen methodologies to analyze S&T statistical data, and explore innovative ways to communicate S&T statistics. To that end, NCSES invites proposals for individual or multi-investigator research projects, doctoral dissertation improvement awards, conferences, experimental research, survey research and data collection, and dissemination projects under its program for Research on the Science and Technology Enterprise: Indicators, Statistics, and Methods (NCSES S&T)."
"Training-based Workforce Development for Advanced Cyberinfrastructure (CyberTraining)","U.S. National Science Foundation","","2027-01-21","2022-11-22","1000000","9300000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","100","23-520","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf23520","data; literacy; workforce; implementation; postsecondary; undergraduate; workforce development; skills","This program seeks to prepare, nurture, and grow the national scientific research workforce for creating, utilizing, and supporting advanced cyberinfrastructure (CI) to enable and potentially transform fundamental science and engineering (S&E) research and education and contribute to the Nation's overall economic competitiveness and security. The goals of this solicitation are to (i) ensure broad adoption of CI tools, methods, and resources by the research community in order to catalyze major research advances and to enhance researchers' abilities to lead the development of new CI, and (ii) integrate core literacy and discipline-appropriate advanced skills in advanced CI as well as computational and data-driven methods for advancing fundamental research, into the Nation's undergraduate and graduate educational curriculum/instructional materials. Proposals responding to this solicitation may target one or both solicitation goals. For the purpose of this solicitation, advanced CI is broadly defined as the set of resources, tools, methods, and services for advanced computation, large-scale data handling and analytics, and networking and security for large-scale systems that collectively enable potentially transformative fundamental S&E research and education. This solicitation calls for innovative, scalable training, education, and curriculum/instructional materials-targeting one or more of the solicitation goals-to address emerging needs and unresolved bottlenecks in the S&E research workforce development, from the postsecondary level to active researchers to CI professionals. The funded activities, spanning targeted, multidisciplinary communities, should lead to transformative changes in the state of research workforce preparedness for advanced CI-enabled research in the short- and long-term. This solicitation also seeks to broaden CI access and adoption by (i) increasing the adoption of advanced CI and computational and data-driven methods to a broader range of S&E disciplines and institutions and (ii) effectively utilizing individual capabilities. Proposals from, and in partnership with, the aforementioned communities are especially encouraged. There are two project classes as defined below: Pilot Projects: up to $300,000 total budget with durations up to two years; and Implementation Projects: Small (with total budgets of up to $500,000) or Medium (with total budgets of up to $1,000,000) for durations of up to four years. Section II. Program Description provides a more complete description of the project classes. Section V.A. Proposal Preparation Instructions describes the proposal elements required for the various project classes in order to address the suitable set of solicitation-specific review criteria. The CyberTraining program is led by the Office of Advanced Cyberinfrastructure (OAC) in the Directorate for Computer and Information Science and Engineering (CISE) and has participation from other NSF directorates/divisions, as described in Section II. Program Description, Programmatic Areas of Interest. Not all directorates/divisions are participating at the same level, and some have specific research and education priorities. The appropriate contact for the CyberTraining program in any directorate/division is the Cognizant Program Officer (PO) for the respective directorate/division/office/program listed below. All projects are expected to clearly articulate how they will address important community needs and provide resources that will be widely available to and usable by the research community.Prospective principal investigators (PIs) are strongly encouraged to contact the Cognizant Program Officers in CISE/OAC and in the participating directorate/division relevant to the proposal to ascertain whether the focus and budget of their proposed activities are appropriate for this solicitation. Such consultations should be completed at least one month in advance of the submission deadline. PIs should include the names of the Cognizant Program Officers consulted in a Single Copy Document as described in Section V.A. Proposal Preparation Instructions. The intent of the CyberTraining program is to encourage collaboration between CI and S&E domain disciplines. (For this purpose, units of CISE other than OAC are considered domain disciplines.) To ensure relevance to community needs and to facilitate adoption, those proposals of interest to one or more domain divisions must include at least one PI/co-PI with expertise relevant to the targeted research discipline. All proposals shall include at least one PI/co-PI with expertise relevant to OAC. Prospective PIs contemplating submissions that primarily target communities relevant to directorates/divisions that are not participating in this solicitation are directed to instead explore the education and workforce development programs of the respective directorates/divisions."
"EPSCoR Research Infrastructure Improvement Program: Focused EPSCoR Collaborations Program (FEC)","U.S. National Science Foundation","","2027-01-26","2024-05-17","1500000","18000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","100","24-573","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf24573","infrastructure; stem; higher education; career; science; technology; engineering; mathematics","The Established Program to Stimulate Competitive Research (EPSCoR) is designed to fulfill the mandate of the National Science Foundation (NSF) to promote scientific progress nationwide. EPSCoR eligibility status is yearly updated and reported in the EPSCoR website (see EPSCoR eligibility). Through this program, NSF establishes partnerships with government, higher education, and industry that are designed to affect sustainable improvements in a jurisdiction's research infrastructure, Research and Development (R&D) capacity, and hence, its R&D competitiveness. The FEC program (formerly known as ""EPSCoR Track-2 program"") builds interjurisdictional collaborative teams of EPSCoR investigators in Science, Technology, Engineering, and Mathematics (STEM) focus areas consistent with the current National Science Foundation Strategic Plan . Projects are investigator-driven and must include researchers from at least two EPSCoR eligible jurisdictions with complementary expertise and resources necessary to address challenges, which neither party could address as well or as rapidly independently. FEC projects have a comprehensive and integrated vision to drive discovery and build sustainable STEM capacity that exemplifies institutional, geographic, and disciplinary diversity. The projects' STEM research and education activities seek to broaden participation through the strategic inclusion and integration of all individuals, institutions, and sectors. Additionally, EPSCoR recognizes that the development of early-career faculty is critical to sustaining and advancing research capacity."
"Mid-scale Research Infrastructure-1","U.S. National Science Foundation","","2027-02-08","2024-08-20","19999999","100000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","100","24-598","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf24598","infrastructure; workforce; professional development; implementation; accessibility; stem; career; science","NSF-supported science and engineering research increasingly relies on cutting-edge infrastructure. With its Major Research Instrumentation (MRI) program and Major Multi-user Facilities (""Major Facilities"") projects, NSF supports infrastructure projects at the lower and higher range of infrastructure project costs, Foundation-wide, across science and engineering research disciplines. The Foundation-wide Mid-scale Research Infrastructure opportunity is intended to provide NSF with an agile, Foundation-wide process to fund experimental research capabilities in the mid-scale range between MRI and Major Multi-user Facilities. NSF defines Research Infrastructure (RI) as any combination of facilities, equipment, instrumentation, or computational hardware or software, and the necessary human capital in support of the same. Major facilities and mid-scale projects are subsets of research infrastructure. The NSF Mid-scale Research Infrastructure-1 Program (Mid-scale RI-1) supports either design activities or implementation of unique and compelling RI projects. Mid-scale implementation projects may include any combination of equipment, instrumentation, cyberinfrastructure, broadly used large scale datasets and the personnel needed to successfully commission the project. Mid-scale RI-1 design activities include the design efforts intended to lead to eventual implementation of a mid-scale class RI project. Mid-scale RI-1 projects should involve the training of a diverse workforce engaged in the design and implementation of STEM research infrastructure. Mid-scale RI-1 projects should directly enable advances in any of the research domains supported by NSF. Projects may also include upgrades to existing research infrastructure. Mid-scale RI-1 emphasizes strong scientific merit, a response to an identified need of the research community and/or fulfillment of a national need to enable U.S. researchers to be competitive in a global research environment. Well-conceived technical and management plans are essential for both design and implementation proposals, as are well-developed plans (e.g., mentoring and professional development) for student training and the involvement of a diverse STEM workforce in all aspects of mid-scale design and/or implementation activities. The inclusion of individual project participants that will lead to a supportive working environment is especially encouraged at all levels of the project team. Within Mid-scale RI-1, proposers may submit two types of projects, ""Implementation"" (e.g., acquisition and/or construction) or ""Design"". The ""Design"" track is intended to facilitate progress toward readiness for a mid-scale range implementation project. Both Implementation projects and Design activities may involve new or upgraded research infrastructure. Mid-scale RI-1 ""Implementation"" projects may have a total project cost ranging from $4 million up to but not including $20 million. Mid-scale RI-1 ""Design"" activities may request less than $4 million, with a minimum request of $400,000 and a maximum request up to but not including $20 million, as appropriate, to prepare for a future mid-scale range implementation project. Note: Successful award of a Mid-scale RI-1 design activity does not imply NSF's commitment to the future implementation of the project being designed, nor is a Mid-scale RI-1 design award required for the submission of an implementation project. The Mid-scale RI-1 Program seeks to broaden the representation of PIs and institutions in its award portfolio, including a geographically diverse set of institutions (especially those in EPSCoR jurisdictions). Proposals submitted by, or involving partnerships between institutions are encouraged. Participation in this opportunity is encouraged for the full spectrum of diverse talent society has to offer to include PIs who are women, early-career researchers, persons with disabilities, or members of other groups underrepresented in STEM. To improve participation in science and engineering research for persons with disabilities, Mid-scale RI-1 encourages PIs to incorporate accessibility as part of Mid-scale RI-1 design activity and implementation projects. Please consult NSF's Research Infrastructure Guide, or RIG (available at https://www.nsf.gov/bfa/lfo/lfo_documents.jsp ), for definitions of certain terms used in this solicitation, such as the Project Execution Plan (PEP) and Design and Execution Plan (DEP). The RIG provides guidance specific to Mid-scale Research Infrastructure Projects, including references to other parts of the RIG as needed. Note that PEP or DEP should be appropriately scaled for the complexity of the project and may not require all of the elements described in the RIG. Mid-scale research infrastructure projects with total project costs beyond the Mid-scale RI-1 Program limit are separately solicited through the Mid-scale RI-2 Program. Proposals to the Mid-scale RI-1 Program with total project costs outside of this solicitation's budgetary limits, either during initial submission or after cost analyses/revisions during subsequent review, are subject to return without further review."
"Mid-Career Advancement","U.S. National Science Foundation","","2027-03-01","2022-06-11","","18000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","72","22-603","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf22603","career; skills; science; engineering","The MCA program offers an opportunity for scientists and engineers at the mid-career stage (see restrictions under Additional Eligibility Information) to substantively enhance and advance theirresearch program and career trajectory. Mid-career scientists are at a critical career transition stage where they need to advance their research programs to ensure long-term productivity and creativity but are often constrained by service, teaching, or other activities that limit the amount of time devoted to research. The MCA program provides protected time, resources, and the means to gain new skills through synergistic and mutually beneficial partnerships, typically at an institution other than the candidate's home institution. Partners from outside the Principal Investigator's (PI) own subdiscipline or discipline are encouraged, but not required, to enhance interdisciplinary networking and convergence across science and engineering fields. Research p rojects that envision new insights on existing problems or identify new problems made accessible with cutting-edge methodology or expertise from other fields are encouraged . A key component of a successful MCA will be the demonstration that the PI's currentresearch program could substantively benefit from the protected time, mentored partnership(s), and resources provided through this program, such thatthere is a substantial enhancement to the PI's research and career trajectory, enabling scientific and academic advancementnot likely without this support. The MCA is the only cross-directorate NSF program specifically aimed at providing protected time and resources to established scientists and engineers targeted at the mid-career stage.Participating programs in the Directorates for Biological Sciences (BIO), Geosciences (GEO), Social, Behavioral and Economic Sciences (SBE), and Education and Human Resources (EHR) will accept MCA proposals. To help identify the disciplinary program in which the MCA should be reviewed, PIs are urged to investigate the research areas supported by the different directorates and participating programs. PIs are strongly encouraged to discuss the suitability of their MCA proposal with a Program Officer from the appropriate directorate (see https://new.nsf.gov/funding/opportunities/mca-mid-career-advancement/announcements/111199 ).PIs from EPSCoR jurisdictions are especially encouraged to apply."
"NSF Scholarships in Science, Technology, Engineering, and Mathematics Program","U.S. National Science Foundation","","2027-03-02","2024-12-03","5000000","120000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","100","25-514","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf25514","evidence; teacher; rural; stem; higher education; undergraduate; college; student success","The main goal of the S-STEM program is to enable academically talented, low-income students to pursue successful careers in promising STEM fields. Ultimately, the S-STEM program seeks to increase the number of academically promising low-income students who graduate with an S-STEM eligible degree and contribute to the American innovation economy with their STEM knowledge. Recognizing that financial aid alone cannot increase retention and graduation in STEM, the program provides awards to institutions of higher education (IHEs) not only to fund scholarships, but also to adapt, implement, and study evidence-based curricular and co-curricular [a] activities that have been shown to be effective in supporting recruitment, retention, transfer (if appropriate), student success, academic/career pathways, and graduation in STEM. To be eligible, scholars must be domestic low-income students with academic ability, talent, or potential and demonstrated unmet financial need who are enrolled in an associate, baccalaureate, or graduate degree program in an S-STEM eligible discipline. Proposers must provide an analysis that articulates the characteristics and academic needs of the population of students they are trying to serve. NSF is particularly interested in supporting the attainment of degrees in fields identified as critical needs for the Nation. It is up to the proposer to make a compelling case that such a field serves a critical need in the United States. [a] an activity at a school or college pursued in addition to the normal course of study. S-STEM Eligible Degree Programs Associate of Arts, Associate of Science, Associate of Engineering, and Associate of Applied Science Bachelor of Arts, Bachelor of Science, Bachelor of Engineering and Bachelor of Applied Science Master of Arts, Master of Science, and Master of Engineering Doctoral (Ph.D. or other comparable doctoral degree) S-STEM Eligible Disciplines Disciplinary fields in which research is funded by NSF, including technology fields associated with the S-STEM-eligible disciplines (e.g., biotechnology, chemical technology, engineering technology, information technology, etc.). The following degrees and disciplines areexcluded: Clinical degree programs, including medical degrees, nursing, veterinary medicine, pharmacy, physical therapy, and others not funded by NSF, are ineligible degrees. Programs for STEM teacher certification or licensure currently covered by the Robert Noyce Teacher Scholarship program (NOYCE) are ineligible for S-STEM funding. Business school programs that lead to Bachelor of Arts or Science in Business Administration degrees (BABA/BSBA/BBA) are not eligible for S-STEM funding. Masters and Doctoral degrees in Business Administration are also excluded. Proposers are strongly encouraged to contact Program Officers before submitting a proposal if they have questions concerning degree or disciplinary eligibility. The S-STEM program particularly encourages proposals from 2-year institutions, predominately undergraduate institutions, and urban, suburban, and rural public institutions."
"Innovations in Graduate Education (IGE) Program","U.S. National Science Foundation","","2027-03-25","2024-01-24","1000000","14000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","100","24-529","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf24529","learning; outcomes; workforce; implementation; stem; workforce development; skills; science","The Innovations in Graduate Education (IGE) Program is designed to encourage development and implementation of bold, new, and potentially transformative approaches to STEM graduate education training. The program seeks proposals that a) explore ways forgraduate students in STEM master's and doctoral degree programs to develop the skills, knowledge, and competencies needed to pursue a range of STEM careers, or b) support research on the graduate education system and outcomes of systemic interventions and policies. IGE projects are intendedto generate the knowledge required for the customization, implementation, and broader adoption of potentially transformative approaches to graduate education. The program supports piloting, testing, and validating novel models or activities and examining systemic innovations with high potential to enrich and extend the knowledge base on effective graduate education approaches. The program addresses both workforce development, emphasizing broad participation, and institutional capacity-building needs in graduate education. Strategic collaborations with the private sector, non-governmental organizations (NGOs), government agencies, national laboratories, field stations, teaching and learning centers, informal science organizations, and academic partners are encouraged."
"Expeditions in Computing","U.S. National Science Foundation","","2027-03-31","2020-02-14","","60000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","80","20-544","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf20544","artificial intelligence; outcomes; science; technology; engineering; cyber","The far-reaching impact and rate of innovation in the computer and information science and engineering &#64257;elds has been remarkable, generating economic prosperity and enhancing the quality of life for people throughout the world. More than a decade ago, the National Science Foundation's (NSF) Directorate for Computer and Information Science and Engineering (CISE) established the Expeditions in Computing (Expeditions) program to build on past successes and provide the CISE research and education community with the opportunity to pursue ambitious, fundamental research agendas that promise to de&#64257;ne the future of computing and information. In planning Expeditions projects, investigators are strongly encouraged to come together within or across departments or institutions to combine their creative talents in the identi&#64257;cation of compelling, transformative research agendas that look ahead by at least a decade and promise disruptive innovations in computer and information science and engineering for many years to come. Now funded at levels up to $15,000,000 for seven years, Expeditions projects represent some of the largest single investments currently made by the CISE directorate. Together with the Science and Technology Centers and the National Artificial Intelligence Research Institutes that CISE supports, Expeditions projects form the centerpiece of the directorate's center-scale award portfolio. With awards funded at levels that promote the formation of large research teams, CISE recognizes that concurrent research advances in multiple &#64257;elds or sub-&#64257;elds are often necessary to stimulate deep and enduring outcomes. The awards made in this program will complement research areas supported by other CISE programs, which target particular computer and information science and engineering &#64257;elds. Additionally, CISE offers Innovation Transition (InTrans) awards for teams nearing the end of their Expeditions as well as Secure and Trustworthy Cyberspace (SaTC) and Cyber-Physical Systems (CPS) Frontier projects. The goal of InTransis to continue the long-term vision and objectives of CISE's center-scale projects. Through InTrans awards, CISE will provide limited funds to match industry support."
"NSF National Quantum Virtual Laboratory - Quantum Testbeds","U.S. National Science Foundation","","2027-04-06","2024-06-28","","32000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","98","24-586","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf24586","infrastructure; workforce; implementation; workforce development; science; technology; engineering","The National Quantum Initiative (NQI) Act 1 aims to ensure the continuing leadership of the United States (U.S.) in quantum information science and technology. In conformance with the NQI goals, an argument 2-5 was set forth for a renewed emphasis on identifying and fostering early adoption of quantum technologies to transform the field of Quantum Information Science and Engineering (QISE) and to accelerate broader impacts on society. A systematic approach to maturing quantum technology platforms by integrating end-users and potential customers from other fields of science and engineering and other sectors of the economy into cycles of research, development, and demonstration should lower the barriers for end-users to pioneer new applications. NSF support for use-inspired and translational research in QISE, combined with continued strong support of the underlying foundational research, is anticipated to accelerate development of a market for quantum technologies. With this program solicitation, the Foundation is taking the next step in implementing the National Quantum Virtual Laboratory (NQVL) concept as an overarching shared infrastructure designed to facilitate the translation from basic science and engineering to the resultant technology, while at the same time emphasizing and advancing its scientific and technical value. The NQVL aims to develop and utilize use-inspired and application-oriented quantum technologies. In the process, NQVL researchers will explore quantum frontiers 6 , foster the development of QISE education and workforce development strategies, engage in outreach activities at all levels, and promote input and participation from the full spectrum of talent in QISE, thereby lowering barriers at all entry points of the research enterprise. Engagement with all sectors of the United States (U.S.) QISE community will be necessary for this initiative to succeed, and, indeed, the project is designed to include participation from a full spectrum of organizations who have expertise to contribute. In particular, NSF recognizes that the involvement of industry partners is essential and will welcome these to be a part of the overall structure. Partnerships with other U.S. Federal agencies under the NQI umbrella are also encouraged. While this solicitation lays out the vision for the entire NQVL program that includes Quantum Science and Technology Demonstration (QSTD) projects, support for enabling technologies through Transformative Advances in Quantum Systems (TAQS), as well as a central coordination hub, only proposals for Design- and Implementation-phase QSTDs are solicited at this time. Submission of a QSTD:Design proposal is contingent upon the existence of a QSTD:Pilot project in the same topical area, and the positive recommendation from the Conceptual Design Review of the QSTD:Pilot project. The QSTD:Design project builds on progress made in the QSTD:Pilot phase. Submission of a QSTD:Implementation proposal is contingent upon the existence of a QSTD:Design project in the same topical area, and the positive recommendation from the Preliminary Design Review of the QSTD:Design project. The QSTD:Implementation project builds on progress made in the QSTD:Design phase. It is required that prospective PIs contact the NQVL Program Officer(s) as soon as possible, but not later than two weeks before submitting a proposal in response to this solicitation, to ascertain that the focus and budget of their proposal is appropriate for this solicitation. H.R.6227 - National Quantum Initiative Act, https://www.congress.gov/bill/115th-congress/house-bill/6227 Accelerating Progress Towards Practical Quantum Advantage, A National Science Foundation Project Scoping Workshop (2022), https://arxiv.org/abs/2210.14757 Quantum Computer Systems for Scientific Discovery, PRX Quantum 2, 017001 (2021) https://doi.org/10.1103/PRXQuantum.2.017001 Development of Quantum InterConnects for Next-Generation Information Technologies, PRX Quantum 2, 017002 (2021) https://doi.org/10.1103/PRXQuantum.2.017002 Quantum Simulators: Architectures and Opportunities, PRX Quantum 2, 017003 (2021) https://doi.org/10.1103/PRXQuantum.2.017003 Quantum Frontiers: Report on Community Input to the Nation's Strategy for Quantum Information Science, https://www.quantum.gov/wp-content/uploads/2020/10/QuantumFrontiers.pdf"
"EPSCoR Research Infrastructure Improvement (RII): EPSCoR Research Fellows","U.S. National Science Foundation","","2027-04-13","2024-01-23","","15000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","100","24-528","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf24528","infrastructure; open; workforce; professional development; stem; undergraduate; career; workforce development","The Established Program to Stimulate Competitive Research is designed to fulfill the mandate of the National Science Foundation (NSF) to promote scientific progress nationwide. NSF EPSCoR facilitates the establishment of partnerships among academic institutions, government, industry, and non-profit sectors that are designed to promote sustainable improvements in a jurisdiction's research infrastructure, Research and Development (R&D) capacity, and R&D competitiveness of EPSCoR-eligible jurisdictions (i.e., states, territories, and commonwealths). Eligibility to participate in the EPSCoR funding opportunities, including the EPSCoR RII: EPSCoR Research Fellows program, is described on the NSF EPSCoR website . EPSCoR RII: EPSCoR Research Fellows directly aligns with the NSF EPSCoR strategic goal of establishing sustainable Science, Technology, Engineering, and Mathematics (STEM) professional development pathways that advance workforce development and effects engagement in STEM at national and global levels. EPSCoR RII: EPSCoR Research Fellows provides awards to build researchcapacityin institutions and transform the career trajectories of investigators and further develop their individual research potential through collaborations with investigators from the nation's premier private, governmental, or academic research institutions and/or centers. The fellowship provides opportunities to establish strong collaborations through extended or periodic collaborative visits to a selected host site.Through collaborative research activities with the host site, Fellows will be able to learn new techniques, develop new collaborations, advance existing partnerships, benefit from access to unique equipment and facilities, and/or shift their research toward potentially transformative new directions. The experiences gained through the fellowships are intended to have lasting impacts that will enhance the Fellows' research trajectories well beyond the award period. The benefits to the Fellows are also expected to improve the research capacity of their institutions and jurisdictions more broadly. EPSCoR Research Infrastructure Improvement (RII): EPSCoR Research Fellows offers the following two tracks: 1)EPSCoR Research Fellows: NSF; and 2) EPSCoR Research Fellows: @NASA&#8239; While the two tracks have similar goals, EPSCoR Research Fellows: NSF is open to a broad community and EPSCoR Research Fellows: @NASA supports faculty from eligible institutions (See Section""IV. Eligibility Information"" for more details) to collaborate with researchers at the National Aeronautics and Space Administration (NASA) research centers. PIs who are eligible for both tracks may apply for only one track per competition cycle. Proposals from both tracks are submitted to and merit reviewed by NSF. Awards in the EPSCoR Research Fellows: @NASA track are referred to NASA EPSCoR for distribution of additional NASA funds and other needed NASA coordination required for the award. In both tracks, the EPSCoR RII: EPSCoR Research Fellows program provides opportunities for the participation of one trainee, who must be an undergraduate or graduate student enrolled full-time in an accredited degree program, or a postdoctoral researcher from an EPSCoR jurisdiction. Staff members, such as technicians or lab assistants could be considered as trainees when properly justified."
"Findable Accessible Interoperable Reusable Open Science","U.S. National Science Foundation","","2027-04-14","2025-01-07","","6000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","86","25-533","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf25533","data; open; accessibility; science","The FAIROS Program seeks to support a broad range of transformative open science activities including but not limited to&#8239;i.)&#8239;Research, education, and socio-technical cyberinfrastructure development capacities that advance sustainable multi-disciplinary findable, accessible, interoperable, reusable (FAIR) research data management (RDM) and open science capabilities,&#8239;ii.)&#8239;Piloting new models of scientific communication and publication that improve efficiency and accessibility,&#8239;iii.)&#8239;Developing FAIROS data portals, research data commons, RDM as a national service, and&#8239;iv.)&#8239;Lowering barriers to accessing, curating, integrating, linking, managing, sharing, and storing data across many disciplinary domains, irrespective of data size. The program supports innovation across the cyberinfrastructure (CI) ecosystem to address accessibility, data curation, research data management, discoverability, reliability, reproducibility, preservation, sustainability, and utility of research products, including data software, and code, developed as part of funded projects. FAIROS proposals must select one of two tracks to focus on, either: 1)&#8239;Disciplinary Improvements&#8239;to targeted scientific communities, or&#8239;2)&#8239;Cross-Cutting Improvements&#8239;that apply to many or most scientific disciplines.&#8239;In the case of proposals focused on Disciplinary Improvements, it is strongly recommended that prospective PIs contact a program officer from the list of Cognizant Program Officers in the directorate closest to the major disciplinary impact of the proposed work to ascertain that the scientific focus and budget of the proposed work are appropriate for this solicitation. In the case of proposals focused on Cross-Cutting Improvements, it is strongly recommended that prospective PIs contact the&#8239;cognizant program officer from the Office of Advanced Cyberinfrastructure (OAC). After selecting either Disciplinary Improvements or Cross-Cutting Improvements in which to focus research, the proposal must include the kinds of activities relevant to the selected track.&#8239;Standard research proposals are the only type of proposal accepted in response to this solicitation. The FAIROS Program is undertaken in support of the US NSF Public Access Initiative. For more information on the US NSF Public Access Initiative please visit&#8239; https://new.nsf.gov/public-access ."
